====== He (10) into UO2                         =======
        SRIM-2008.04
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.= He(4.2 MeV) ==> UO2(  12 um) ==============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = He   Energy = 4200 keV
 Total Ions calculated =4274.00
============= TARGET MATERIAL ======================================
Layer  1 : UO2
Layer Width = 12000.E+01 AAA ;
  Layer # 1- Density = 7.332E22 atoms/cm3 = 10.96 g/cm3
  Layer # 1-  O = 66.6 Atomic Percent = 11.8 Mass Percent
  Layer # 1-  U = 33.3 Atomic Percent = 88.1 Mass Percent
====================================================================
 Ion Average Range = 904322.E-01 A   Straggling = 452595.E-02 A
 Ion Lateral Range = 617847.E-02 A   Straggling = 820054.E-02 A
 Ion Radial  Range = 974924.E-02 A   Straggling = 643927.E-02 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
7080001.E-02 91229718.E-04 11315228.E-03 13047442.E-03 28286292.E-04 
7200001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7320001.E-02 18600969.E-03 24318663.E-03 23728410.E-03 13882251.E-03 
7440001.E-02 17359808.E-03 20389103.E-03 30402482.E-03 16295621.E-03 
7560001.E-02 28797932.E-03 30558371.E-03 34393593.E-03 96822184.E-04 
7680001.E-02 14444689.E-03 17054369.E-03 26734766.E-03 12888150.E-03 
7800001.E-02 63764422.E-04 80106954.E-04 16634313.E-03 94076005.E-04 
7920001.E-02 98014572.E-04 12773132.E-03 24022050.E-03 98414219.E-04 
8040001.E-02 13202474.E-03 16888730.E-03 18798999.E-03 97892210.E-04 
8160001.E-02 11262845.E-03 14789931.E-03 18123855.E-03 11914431.E-03 
8280001.E-02 12125761.E-03 14200310.E-03 18481762.E-03 73775719.E-04 
8400001.E-02 98986767.E-04 12945864.E-03 16137264.E-03 78226914.E-04 
8520001.E-02 11287655.E-03 13677025.E-03 16394310.E-03 82238149.E-04 
8640001.E-02 87792749.E-04 10967229.E-03 13521730.E-03 70754890.E-04 
8760001.E-02 81189559.E-04 10132287.E-03 12934871.E-03 65869464.E-04 
8880001.E-02 76948608.E-04 96360382.E-04 11796577.E-03 59342090.E-04 
9000001.E-02 65113057.E-04 80431156.E-04 10327916.E-03 53057424.E-04 
9120001.E-02 60061776.E-04 73247776.E-04 94810136.E-04 44863449.E-04 
9240001.E-02 52017679.E-04 65786872.E-04 81336381.E-04 42837594.E-04 
9360001.E-02 47122299.E-04 58533247.E-04 75993452.E-04 38350932.E-04 
9480001.E-02 41040864.E-04 51459983.E-04 67382548.E-04 35951975.E-04 
9600001.E-02 38558953.E-04 48147970.E-04 61316864.E-04 31253649.E-04 
9720001.E-02 42281332.E-04 48270587.E-04 56482713.E-04 25799079.E-04 
9840001.E-02 25836453.E-04 33889606.E-04 32725011.E-04 20886828.E-04 
9960001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1008000.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1020000.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1032000.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1044000.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1056000.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1068000.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1080000.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1092000.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1104000.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1116000.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1128000.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1140000.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1152000.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1164000.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1176000.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1188000.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1200000.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
