====== He (10) into UO2                         =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target. the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = He   Energy = 4200 keV
 Total Ions calculated =10000.00
============= TARGET MATERIAL ======================================
Layer  1 : UO2
Layer Width = 10000.E+01 AAA ;
  Layer # 1- Density = 7.332E22 atoms/cm3 = 10.96 g/cm3
  Layer # 1-  U = 33.3 Atomic Percent = 88.1 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 11.8 Mass Percent
====================================================================
 Ion Average Range = 903168.E-01 A   Straggling = 465703.E-02 A
 Ion Lateral Range = 619674.E-02 A   Straggling = 830810.E-02 A
 Ion Radial  Range = 978146.E-02 A   Straggling = 668482.E-02 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
6000001.E-02 33850264.E-03 38338947.E-03 41688292.E-03 11519701.E-03 
6100001.E-02 20643113.E-03 27081804.E-03 40268079.E-03 20811397.E-03 
6200001.E-02 11347754.E-03 13945145.E-03 42454297.E-03 96035633.E-04 
6300001.E-02 20032840.E-03 20032840.E-03 22974632.E-03 00000000.E+00 
6400001.E-02 15022220.E-03 18324663.E-03 20655757.E-03 10402379.E-03 
6500001.E-02 28335213.E-03 30393563.E-03 35137891.E-03 12731949.E-03 
6600001.E-02 14257636.E-03 18228416.E-03 26007024.E-03 94936794.E-04 
6700001.E-02 19927330.E-03 22079855.E-03 33703227.E-03 12701642.E-03 
6800001.E-02 22606803.E-03 29843870.E-03 32516754.E-03 17897918.E-03 
6900001.E-02 18032841.E-03 18618686.E-03 22667644.E-03 63584287.E-04 
7000001.E-02 25074644.E-03 27795876.E-03 41452432.E-03 14942786.E-03 
7100001.E-02 18045752.E-03 23149241.E-03 28222867.E-03 14079891.E-03 
7200001.E-02 17190864.E-03 20313991.E-03 24260956.E-03 99986526.E-04 
7300001.E-02 18091306.E-03 22336592.E-03 28534612.E-03 17829890.E-03 
7400001.E-02 16273209.E-03 21760266.E-03 24443756.E-03 13173844.E-03 
7500001.E-02 15952554.E-03 18665773.E-03 25849269.E-03 11842965.E-03 
7600001.E-02 18148428.E-03 22378907.E-03 25298278.E-03 12119374.E-03 
7700001.E-02 15571663.E-03 19979651.E-03 22052829.E-03 10670544.E-03 
7800001.E-02 16416639.E-03 19509176.E-03 23613722.E-03 10258926.E-03 
7900001.E-02 17840405.E-03 20902599.E-03 24812970.E-03 10640146.E-03 
8000001.E-02 13039023.E-03 17022096.E-03 19634962.E-03 10398782.E-03 
8100001.E-02 11207640.E-03 14126851.E-03 19194425.E-03 10586412.E-03 
8200001.E-02 12356024.E-03 15568853.E-03 19618559.E-03 94873689.E-04 
8300001.E-02 11107282.E-03 13569830.E-03 16086968.E-03 86817717.E-04 
8400001.E-02 90853678.E-04 11846861.E-03 16519971.E-03 87562806.E-04 
8500001.E-02 10015751.E-03 12438361.E-03 15826718.E-03 78552148.E-04 
8600001.E-02 80965022.E-04 10319501.E-03 14795089.E-03 75703062.E-04 
8700001.E-02 80415129.E-04 99879970.E-04 12651390.E-03 63642918.E-04 
8800001.E-02 73500307.E-04 92053223.E-04 11987097.E-03 62648695.E-04 
8900001.E-02 70378729.E-04 87972645.E-04 11101788.E-03 56242645.E-04 
9000001.E-02 65907986.E-04 82920317.E-04 10283621.E-03 53494487.E-04 
9100001.E-02 58870160.E-04 73548669.E-04 93448970.E-04 49113837.E-04 
9200001.E-02 55050946.E-04 68442653.E-04 85480116.E-04 43867083.E-04 
9300001.E-02 50310974.E-04 62926986.E-04 77957009.E-04 41390600.E-04 
9400001.E-02 45679919.E-04 57043220.E-04 71130269.E-04 35726596.E-04 
9500001.E-02 41382786.E-04 52611630.E-04 66107952.E-04 35137238.E-04 
9600001.E-02 39986801.E-04 50726120.E-04 60083451.E-04 31389489.E-04 
9700001.E-02 33463037.E-04 41968703.E-04 55350309.E-04 29079103.E-04 
9800001.E-02 45701625.E-04 53975969.E-04 69050040.E-04 28905017.E-04 
9900001.E-02 11129533.E-04 15443266.E-04 34734025.E-04 13623151.E-04 
1000000.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
