====== Th (70) into UO2                         =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target. the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.= Th(70 keV) ==> UO2(  500 A) ===============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Th   Energy = 70 keV
 Total Ions calculated =10000.00
============= TARGET MATERIAL ======================================
Layer  1 : UO2
Layer Width = 50000.E-02 AAA ;
  Layer # 1- Density = 7.332E22 atoms/cm3 = 10.96 g/cm3
  Layer # 1-  U = 33.3 Atomic Percent = 88.1 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 11.8 Mass Percent
====================================================================
 Ion Average Range = 142699.E-03 A   Straggling = 682787.E-04 A
 Ion Lateral Range = 464831.E-04 A   Straggling = 587864.E-04 A
 Ion Radial  Range = 736141.E-04 A   Straggling = 398433.E-04 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
2950100.E-04 53101726.E-06 65661647.E-06 86022824.E-06 39583468.E-06 
3000100.E-04 54398568.E-06 67794253.E-06 77213799.E-06 41337756.E-06 
3050100.E-04 56122173.E-06 70625268.E-06 83168940.E-06 49017711.E-06 
3100100.E-04 42547947.E-06 51587304.E-06 61625773.E-06 30262404.E-06 
3150100.E-04 44815832.E-06 53353745.E-06 92138154.E-06 38150943.E-06 
3200100.E-04 65363190.E-06 73793639.E-06 11141338.E-05 34599874.E-06 
3250100.E-04 48414904.E-06 57468316.E-06 77951255.E-06 30976427.E-06 
3300100.E-04 62825350.E-06 74155837.E-06 92978582.E-06 38242007.E-06 
3350100.E-04 49946192.E-06 62720458.E-06 67517099.E-06 40743552.E-06 
3400100.E-04 45262154.E-06 51111408.E-06 56955528.E-06 16052040.E-06 
3450100.E-04 34905454.E-06 37091879.E-06 67273125.E-06 37113602.E-06 
3500100.E-04 81134065.E-06 92768231.E-06 95773912.E-06 49508013.E-06 
3550100.E-04 38749105.E-06 58730524.E-06 94379725.E-06 43217070.E-06 
3600100.E-04 41601540.E-06 42363899.E-06 67447518.E-06 29631292.E-06 
3650100.E-04 26702125.E-06 37417564.E-06 10444082.E-05 11603834.E-06 
3700100.E-04 56712598.E-06 63345064.E-06 83879126.E-06 17585538.E-06 
3750100.E-04 62007892.E-06 65902995.E-06 71884797.E-06 32002125.E-06 
3800100.E-04 28094710.E-06 32328383.E-06 59695286.E-06 39505257.E-06 
3850100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3900100.E-04 35302038.E-07 35302038.E-07 10874125.E-05 00000000.E+00 
3950100.E-04 34319200.E-06 34319200.E-06 50237106.E-06 00000000.E+00 
4000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4050100.E-04 57542298.E-07 57542298.E-07 56404394.E-06 00000000.E+00 
4100100.E-04 44543223.E-06 46333269.E-06 71577843.E-06 36439148.E-06 
4150100.E-04 10668503.E-05 10668503.E-05 17152946.E-05 00000000.E+00 
4200100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4250100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4300100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4350100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4400100.E-04 20433607.E-07 20433607.E-07 47417850.E-06 00000000.E+00 
4450100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4500100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4550100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4600100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4650100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4700100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4750100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4800100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4850100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4900100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4950100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
